Name,Graduate,Longterm,Visiting,Institution,Prize Type,Year Awarded
[Ch.] William Moerner (PhD) - 2014,1,0,0,Cornell,,
"[PM] Barbara McClintock (B.A, PhD) - 1983",1,0,0,Cornell,,
[PM] George Wells Beadle (PhD) - 1958,1,0,0,Cornell,,
[PM] Hermann J. Muller (Attendee) - 1946,1,0,0,Cornell,,
[PM] Jack W. Szostak (PhD) - 2009,1,0,0,Cornell,,
[PM] Robert W. Holley (PhD) - 1968,1,0,0,Cornell,,
[Ec.] Robert F. Engle (PhD) - 2003,1,0,0,Cornell,,
[Ec.] Robert Fogel (B.A) - 1993,1,0,0,Cornell,,
[Li.] Pearl S. Buck (M.A) - 1938,1,0,0,Cornell,,
[Li.] Toni Morrison (M.A) - 1993,1,0,0,Cornell,,
[Pe.] John R. Mott (B.S) - 1946,1,0,0,Cornell,,
[Ph.] David Lee (Professor) - 1996*,0,1,0,Cornell,,
[Ph.] François Englert (Assistant Professor) - 2013,0,1,0,Cornell,,
[Ph.] Hannes Alfvén (Professor) - 1970,0,1,0,Cornell,,
[Ph.] Hans Albrecht Bethe (Professor) - 1967*,0,1,0,Cornell,,
[Ph.] Kenneth G. Wilson (Professor) - 1982,0,1,0,Cornell,,
[Ph.] Richard P. Feynman (Professor) - 1965,0,1,0,Cornell,,
[Ph.] Robert Coleman Richardson (Professor) - 1996*,0,1,0,Cornell,,
[Ch.] Henry Taube (Assistant Professor) - 1983,0,1,0,Cornell,,
[Ch.] James B. Sumner (Professor) - 1946*,0,1,0,Cornell,,
[Ch.] Paul Flory (Professor) - 1974,0,1,0,Cornell,,
[Ch.] Peter Debye (Professor) - 1936,0,1,0,Cornell,,
[Ch.] Roald Hoffmann (Professor) - 1981*,0,1,0,Cornell,,
[Ch.] Vincent du Vigneaud (Professor) - 1955*,0,1,0,Cornell,,
[PM] Haldan Keffer Hartline (Associate Professor) - 1967,0,1,0,Cornell,,
[PM] Harold E. Varmus (Professor) - 1989,0,1,0,Cornell,,
[PM] Herbert Spencer Gasser (Professor) - 1944,0,1,0,Cornell,,
[PM] Robert F. Furchgott (Assistant Professor) - 1998,0,1,0,Cornell,,
[Ph.] Anthony J. Leggett (Visiting Professor) - 2002,0,0,1,Cornell,,
[Ph.] George Thomson (Lecturer) - 1937,0,0,1,Cornell,,
[Ph.] John M. Kosterlitz (Postdoctoral Researcher) - 2016,0,0,1,Cornell,,
[Ph.] John Robert Schrieffer (Visiting Professor) - 1972,0,0,1,Cornell,,
[Ph.] Pierre-Gilles de Gennes[77] (Visiting Professor) - 1991,0,0,1,Cornell,,
[Ph.] Russell Hulse (Researcher) - 1993,0,0,1,Cornell,,
[Ch.] Gerhard Herzberg (Lecturer) - 1971,0,0,1,Cornell,,
[Ch.][Pe.] Linus Pauling[73] (Lecturer) - 1954,0,0,1,Cornell,,
[Ch.] Manfred Eigen (Visiting Professor) - 1967,0,0,1,Cornell,,
[Ch.] Otto Hahn (Lecturer) - 1944,0,0,1,Cornell,,
[Ch.] Richard R. Ernst (Visiting Professor) - 1991,0,0,1,Cornell,,
[PM] Fritz Lipmann (Researcher) - 1953,0,0,1,Cornell,,
[PM] Har Gobind Khorana (Visiting Professor) - 1968,0,0,1,Cornell,,
[PM] Paul Greengard (Visiting Professor) - 2000,0,0,1,Cornell,,
[PM] Peter Medawar (Visiting Professor) - 1960,0,0,1,Cornell,,
[Ec.] Amartya Sen (Visiting Professor) - 1998,0,0,1,Cornell,,
[Pe.] Norman Borlaug (Visiting Professor) - 1970,0,0,1,Cornell,,
[Li.] Octavio Paz (Visiting Professor) - 1990,0,0,1,Cornell,,
[Ch.][Pe.] Linus Pauling[73] (Lecturer) - 1962,0,0,1,Cornell,,
[Li.] Wole Soyinka (Researcher) - 1986,0,0,1,Cornell,,
[Ph.] David Lee (PhD) - 1996,1,0,0,Yale,,
[Ph.] Ernest O. Lawrence (PhD) - 1939,1,0,0,Yale,,
[Ph.] Murray Gell-Mann (B.S) - 1969,1,0,0,Yale,,
[Ph.] Raymond Davis (PhD) - 2002,1,0,0,Yale,,
[Ch.] Brian Kobilka (M.D) - 2012,1,0,0,Yale,,
[Ch.] John B. Fenn (PhD) - 2002,1,0,0,Yale,,
[Ch.] Lars Onsager (PhD) - 1968,1,0,0,Yale,,
[PM] Alfred G. Gilman (B.A) - 1994,1,0,0,Yale,,
[PM] Dickinson W. Richards (B.A) - 1956,1,0,0,Yale,,
[PM] Eric F. Wieschaus (PhD) - 1995,1,0,0,Yale,,
[PM] George Hoyt Whipple (B.A) - 1934,1,0,0,Yale,,
[PM] James Rothman (B.A) - 2013,1,0,0,Yale,,
[PM] John F. Enders (B.A) - 1954,1,0,0,Yale,,
[PM] Joshua Lederberg (PhD) - 1958,1,0,0,Yale,,
[Ec.] Edmund Phelps (PhD) - 2006,1,0,0,Yale,,
[Ec.] George Akerlof (B.A) - 2001,1,0,0,Yale,,
[Ec.] Paul R. Krugman (B.A) - 2008,1,0,0,Yale,,
[Ec.] Peter A. Diamond (B.A) - 2010,1,0,0,Yale,,
[Ec.] William Vickrey (B.S) - 1996,1,0,0,Yale,,
[Li.] Sinclair Lewis (Attendee) - 1930,1,0,0,Yale,,
[Ph.] David J. Thouless (Professor) - 2016,0,1,0,Yale,,
[Ph.] Serge Haroche[15] (Professor) - 2012,0,1,0,Yale,,
[Ph.] Willis E. Lamb (Professor) - 1955,0,1,0,Yale,,
[Ch.] Irwin Rose (Professor) - 2004,0,1,0,Yale,,
[Ch.] John B. Fenn (Professor) - 2002,0,1,0,Yale,,
[Ch.] Lars Onsager (Professor) - 1968*,0,1,0,Yale,,
[Ch.] Sidney Altman (Professor) - 1989*,0,1,0,Yale,,
[Ch.] Thomas A. Steitz (Professor) - 2009*,0,1,0,Yale,,
[PM] Edward Lawrie Tatum (Professor) - 1958,0,1,0,Yale,,
[PM] George Palade (Professor) - 1974*,0,1,0,Yale,,
[PM] James Rothman (Professor) - 2013*,0,1,0,Yale,,
[PM] John Vane (Assistant Professor) - 1982,0,1,0,Yale,,
[PM] Max Theiler (Professor) - 1951,0,1,0,Yale,,
